Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5312","Area harvested","0111","Wheat","2019","2019","ha","2334000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5312","Area harvested","0111","Wheat","2019","2019","ha","57330","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0111","Wheat","2019","2019","ha","1974987","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","0111","Wheat","2019","2019","ha","3357","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","0111","Wheat","2019","2019","ha","6050953","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5312","Area harvested","0111","Wheat","2019","2019","ha","57563","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0111","Wheat","2019","2019","ha","10402271","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2019","2019","ha","278340","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","0111","Wheat","2019","2019","ha","669993","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0111","Wheat","2019","2019","ha","330348","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5312","Area harvested","0111","Wheat","2019","2019","ha","693831","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2019","2019","ha","203760","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5312","Area harvested","0111","Wheat","2019","2019","ha","1004","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5312","Area harvested","0111","Wheat","2019","2019","ha","197713","A","Official figure",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5312","Area harvested","0111","Wheat","2019","2019","ha","68965","A","Official figure",""
"QCL","Crops and livestock products","072","Botswana","5312","Area harvested","0111","Wheat","2019","2019","ha","620","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0111","Wheat","2019","2019","ha","2103578","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5312","Area harvested","0111","Wheat","2019","2019","ha","1198680","A","Official figure",""
"QCL","Crops and livestock products","108","Burundi","5312","Area harvested","0111","Wheat","2019","2019","ha","7645","A","Official figure",""
"QCL","Crops and livestock products","120","Cameroon","5312","Area harvested","0111","Wheat","2019","2019","ha","374","I","Imputed value",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","0111","Wheat","2019","2019","ha","9655800","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5312","Area harvested","0111","Wheat","2019","2019","ha","862","A","Official figure",""
